Designator,Footprint,Quantity,Value,LCSC Part #
"1, 2, 3, RESET",SW_B3SN-3012P,4,B3SN-3012P,
BT1,Coin_Battery_Holder_CR2032,1,Battery_Cell,
BZ1,piezo_buzzer,1,Buzzer,
C1,C_106,1,10uF,
C2,C_104,1,0.1uF,
J2,conn_01x06,1,Conn_01x06,
LED1,SMD_RED_LTST-S270KRKT,1,RED_LED,
LED2,SMD__GREEN_LTST-C170GKT_LTO,1,GREEN_LED,
LED3,YELLOW_LED_.LTST-C190KSKT,1,YELLOW_LED,
LED4,SMD_RED_LTST-S270KRKT,1,WON_LED,
LED5,SMD_RED_LTST-S270KRKT,1,LOST_LED,
"R1, R2, R3, R8",221_R_RESC1005X40N,4,220Ω,
"R4, R5",R_0103,2,10k,
R6,R_0472,1,4.7k,
R7,R_0222,1,2.2k,
R9,221_R_RESC1005X40N,1,220,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ATtiny85-20M,
