Designator,Mid X,Mid Y,Rotation,Layer
1,91.9,-97.1,270.0,top
2,105.0,-97.0,270.0,top
3,117.0,-97.0,270.0,top
BT1,131.2,-65.25,0.0,top
BZ1,74.1,-79.8,0.0,top
C1,77.6,-91.9,270.0,top
C2,84.7,-93.8,270.0,top
J2,71.775,-101.25,0.0,top
LED1,91.9,-87.8,0.0,top
LED2,104.4,-87.9,0.0,top
LED3,116.4,-87.8,180.0,top
LED4,129.7,-82.5,180.0,top
LED5,140.3,-82.5,0.0,top
R1,87.8,-87.8,0.0,top
R2,96.47,-84.3,0.0,top
R3,103.3,-84.3,0.0,top
R4,80.7,-91.2,90.0,top
R5,97.4,-100.6,180.0,top
R6,110.2,-100.9,90.0,top
R7,122.7,-101.2,90.0,top
R8,142.1,-93.4,270.0,top
R9,67.5,-89.2,90.0,top
RESET,134.9,-96.9875,270.0,top
U1,71.65,-92.35,90.0,top
